<<<<<<< HEAD
SG_UF,CO_MUNICIPIO,NO_MUNICIPIO,ID_ESCOLA,NO_ESCOLA,REDE,VL_APROVACAO_2017_SI_4,VL_APROVACAO_2019_SI_4,VL_APROVACAO_2021_SI_4,VL_INDICADOR_REND_2017,VL_INDICADOR_REND_2019,VL_INDICADOR_REND_2021,VL_NOTA_MATEMATICA_2017,VL_NOTA_MATEMATICA_2019,VL_NOTA_MATEMATICA_2021,VL_NOTA_PORTUGUES_2017,VL_NOTA_PORTUGUES_2019,VL_NOTA_PORTUGUES_2021,VL_NOTA_MEDIA_2017,VL_NOTA_MEDIA_2019,VL_NOTA_MEDIA_2021,VL_OBSERVADO_2017,VL_OBSERVADO_2019,VL_OBSERVADO_2021,VL_PROJECAO_2019,VL_PROJECAO_2021,RESULTADO_2019,RESULTADO_2021
PB,2504009.0,Campina Grande,25072242.0,EEEFM JOSE PINHEIRO,Estadual,-,55.3,97.5,-,0.563252,0.973855,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2504009.0,Campina Grande,25072277.0,ECI MONTE CARMELO,Estadual,62.9,88.8,100,0.636198,0.907115,1,240.82,252.46,257.01,249.42,261.6,266.21,3.80565,4.151468,4.284385,2.4,3.8,4.3,2.7,2.9,1.0999999999999996,1.4
PB,2504009.0,Campina Grande,25072285.0,EEEFM MURILO BRAGA,Estadual,-,65.7,95.2,-,0.677008,0.953448,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2504009.0,Campina Grande,25072293.0,EEEFM NOSSA SENHORA APARECIDA,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
PB,2504009.0,Campina Grande,25072307.0,ECI SOLON DE LUCENA,Estadual,83.9,87,100,0.840301,0.865786,1,ND,297.97,ND,ND,307.37,ND,-,5.475833,-,-,4.7,,,5.0,,
PB,2504009.0,Campina Grande,25072340.0,EEEF ALCEU DO AMOROSO LIMA,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
PB,2504009.0,Campina Grande,25072404.0,EEEFM RUBENS DUTRA II,Estadual,84.1,90.2,-,0.827809,0.896625,-,255.36,ND,-,251.97,ND,-,4.048037,-,-,3.4,,,3.6,3.8,,
PB,2504009.0,Campina Grande,25072412.0,ECI ESCRITOR VIRGINIUS DA GAMA E MELO,Estadual,74.5,83.3,99.2,0.750016,0.829404,0.993585,ND,289.42,278.74,ND,304.88,283.24,-,5.318474,4.844522,-,4.4,4.8,,4.6,,0.20000000000000018
PB,2504009.0,Campina Grande,25072420.0,ECIT ELPIDIO DE ALMEIDA,Estadual,72.5,86.7,100,0.734495,0.856758,1,ND,300.01,287.75,ND,309,300.41,-,5.528886,5.228103,-,4.7,5.2,,4.9,,0.2999999999999998
PB,2504009.0,Campina Grande,25072439.0,ECI HORTENCIO SOUSA RIBEIRO PREMEN,Estadual,92.8,90,100,0.932622,0.900049,1,277.07,295.78,ND,270.46,296.22,ND,4.629749,5.278159,-,4.3,4.8,,4.5,4.7,0.2999999999999998,
PB,2504009.0,Campina Grande,25072692.0,ENE PE EMIDIO VIANA CORREIA,Estadual,81.5,87.7,99.9,0.827902,0.892334,0.998997,275.6,273.06,ND,281.3,279.82,ND,4.771379,4.713549,-,4,4.2,,4.2,4.4,0.0,
PB,2504009.0,Campina Grande,25076400.0,EEEFM PROF ANTONIO OLIVEIRA,Estadual,76.5,83,95.7,0.783415,0.8406,0.958993,281.35,ND,ND,286.72,ND,ND,4.933275,-,-,3.9,,,4.1,4.3,,
PB,2504009.0,Campina Grande,25076582.0,ECI EEFM IRMA JOAQUINA SAMPAIO,Estadual,44.9,89.6,100,0.455495,0.901619,1,ND,246.27,ND,ND,250.51,ND,-,3.898512,-,-,3.5,,,3.7,,
PB,2504009.0,Campina Grande,25076590.0,ECI EEFM JOSE MIGUEL LEAO,Estadual,71.8,74.8,89.8,0.726793,0.739176,0.899954,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2504009.0,Campina Grande,25114433.0,EEEFM SENADOR HUMBERTO LUCENA,Estadual,-,71.9,100,-,0.717749,1,-,253.67,259.6,-,258.94,262.73,-,4.128642,4.268665,-,3.0,4.3,,3.2,,1.0999999999999996
PB,2504009.0,Campina Grande,25114808.0,ECI ITAN PEREIRA,Estadual,82.8,93.2,100,0.861651,0.939571,1,278.25,287.94,289.21,275.64,312.33,302.55,4.723867,5.409214,5.280644,4.1,5.1,5.3,4.3,4.5,0.7999999999999998,0.7999999999999998
PB,2504009.0,Campina Grande,25117459.0,ECI PREFEITO WILLIAMS DE SOUSA ARRUDA,Estadual,73.3,-,100,0.750581,-,1,257.66,-,253.56,278.15,-,288.37,4.472257,-,4.567666,3.4,,4.6,3.6,3.8,,0.7999999999999998
PB,2504009.0,Campina Grande,25117688.0,ECIT IRMA STEFANIE,Estadual,-,-,100,-,-,1,-,-,248.11,-,-,256.59,-,-,4.015373,-,,4.0,,,,
PB,2504009.0,Campina Grande,25117858.0,EEEF REITOR EDVALDO DO O,Estadual,-,67.5,-,-,0.677407,-,-,235.65,-,-,263.79,-,-,3.948157,-,-,2.7,,,2.9,,
PB,2504009.0,Campina Grande,25117866.0,EEEFM POETISA VICENTINA FIGUEIREDO VITAL DO REGO,Estadual,-,84.3,100,-,0.839983,1,-,288.01,ND,-,296.03,ND,-,5.166185,-,-,4.3,,,4.6,,
PB,2504009.0,Campina Grande,25120670.0,EEEFM MAJOR VENEZIANO VITAL DO REGO,Estadual,68.8,-,76.4,0.69284,-,0.764884,ND,-,ND,ND,-,ND,-,-,-,-,,,,,,
PB,2504009.0,Campina Grande,25123998.0,ESCOLA WALNYZA BORBOREMA CUNHA,Estadual,88.3,85.8,98.6,0.896441,0.861458,0.988404,ND,275.57,ND,ND,288.73,ND,-,4.882185,-,-,4.2,,,4.4,,
PB,2504009.0,Campina Grande,25130331.0,ECIT PROFESSOR BRAULIO MAIA JUNIOR,Estadual,-,-,100,-,-,1,-,-,290.06,-,-,296.12,-,-,5.196325,-,,5.2,,,,
PB,2504009.0,Campina Grande,25137409.0,IFPB - CAMPUS CAMPINA GRANDE,Federal,78,92.3,88.6,0.80279,0.926192,0.890176,331.69,ND,ND,322.6,ND,ND,6.177423,-,-,5,,,5.2,5.4,,
PB,2504009.0,Campina Grande,25151401.0,EEEFM ANTONIO GUEDES DE ANDRADE,Estadual,74.3,81.2,100,0.748316,0.782237,1,268.6,271.89,ND,270.13,292.83,ND,4.505848,4.891877,-,3.4,3.8,,3.6,3.8,0.19999999999999973,
PB,2504009.0,Campina Grande,25152815.0,EEEFM ISABEL RODRIGUES DE MELO,Estadual,80.9,86.6,100,0.806813,0.871207,1,ND,257.13,ND,ND,254.74,ND,-,4.114364,-,-,3.6,,,3.8,,
PB,2504033.0,Capim,25087304.0,ECI EEM JOSE WILSON DE ALBUQUERQUE MELO,Estadual,86.1,67.4,99.2,0.862611,0.692205,0.993585,ND,230.92,255.14,ND,232.91,265.49,-,3.419449,4.247342,-,2.4,4.2,,2.6,,1.6
PB,2504074.0,Caraúbas,25054490.0,EEEFM CEL SERVELIANO DE FARIAS CASTRO,Estadual,89.6,93.2,100,0.906354,0.911586,1,248.71,269.67,ND,254.15,260.73,ND,3.987273,4.380158,-,3.6,4.0,,3.8,4.1,0.20000000000000018,
PB,2504108.0,Carrapateira,25009192.0,ECI EEM JOEL PEREIRA DA SILVA,Estadual,68.2,76.5,96.9,0.688605,0.770491,0.968462,ND,263.57,ND,ND,268.87,ND,-,4.41634,-,-,3.4,,,3.6,,
PB,2504157.0,Casserengue,25110780.0,ESCOLA CIDADA INTEGRAL DE ENSINO MEDIO PROFESSORA BEATRIZ MARIA DE ABREU,Estadual,60.5,64,94.1,0.617361,0.655355,0.938868,228.45,275.69,ND,225.58,285.8,ND,3.275028,4.840008,-,2,3.2,,2.3,2.5,0.9000000000000004,
PB,2504207.0,Catingueira,25024175.0,EEEFM INACIO DA CATINGUEIRA,Estadual,95.8,89.9,99.3,0.963322,0.902352,0.993243,272.59,288.19,ND,262.47,294.94,ND,4.447217,5.152396,-,4.3,4.6,,4.5,4.7,0.09999999999999964,
PB,2504306.0,Catolé do Rocha,25001825.0,ESC AGROTECNICA DO CAJUEIRO CAMPUS IV - UEPB,Estadual,90.2,-,91.4,0.906222,-,0.909178,283.13,-,ND,287.42,-,ND,4.968754,-,-,4.5,,,4.7,4.9,,
PB,2504306.0,Catolé do Rocha,25001833.0,ECIT OBDULIA DANTAS,Estadual,76.4,95.9,100,0.771242,0.964346,1,247.66,292.52,ND,245.9,286.75,ND,3.849023,5.090606,-,3,4.9,,3.2,3.4,1.7000000000000002,
PB,2504306.0,Catolé do Rocha,25001906.0,ECI JOAO SUASSUNA,Estadual,67.5,90.7,100,0.669181,0.9,1,ND,272.89,ND,ND,274.81,ND,-,4.636161,-,-,4.2,,,4.4,,
PB,2504306.0,Catolé do Rocha,25128388.0,IFPB - CAMPUS CATOLE DO ROCHA,Federal,-,98.5,97,-,0.984643,0.97589,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2504355.0,Caturité,25052802.0,EEEFM FELIX ARAUJO,Estadual,80,78.2,100,0.787929,0.807022,1,238.05,259.07,ND,250.02,261.94,ND,3.775727,4.249395,-,3,3.4,,3.2,3.4,0.19999999999999973,
PB,2504405.0,Conceição,25027930.0,ECIT MAESTRO JOSE SIQUEIRA,Estadual,69.7,81.2,93.8,0.720744,0.748576,0.951978,ND,248.05,ND,ND,250.47,ND,-,3.922913,-,-,2.9,,,3.1,,
PB,2504405.0,Conceição,25028065.0,EEEF NOSSA SENHORA DE FATIMA,Estadual,-,-,94.8,-,-,0.950809,-,-,ND,-,-,ND,-,-,-,-,,,,,,
PB,2504504.0,Condado,25013840.0,ECI DOUTOR TRAJANO PIRES DA NOBREGA,Estadual,90.6,96.3,100,0.904478,0.966223,1,262.2,284.34,ND,268.06,283.08,ND,4.384973,4.920778,-,4,4.8,,4.2,4.4,0.5999999999999996,
PB,2504603.0,Conde,25092111.0,EEEFM PROF JOAO DA CUNHA VINAGRE,Estadual,72.1,68.2,78.8,0.731378,0.675118,0.786455,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2504702.0,Congo,25044788.0,EEEFM MANOEL ALVES CAMPOS,Estadual,84.2,87.8,100,0.850178,0.879669,1,272.04,265.7,275.47,268.98,272.43,274.44,4.536947,4.499549,4.666858,3.9,4.0,4.7,4.1,4.3,-0.09999999999999964,0.40000000000000036
PB,2504801.0,Coremas,25024558.0,ECIT NOBEL VITA,Estadual,76.7,83.5,99.8,0.783017,0.841488,0.997656,266.24,291.89,261.45,259.11,279.33,263.07,4.307732,4.97068,4.299738,3.4,4.2,4.3,3.6,3.8,0.6000000000000001,0.5
PB,2504850.0,Coxixola,25049372.0,ECI EEFM MANOEL HONORATO SOBRINHO,Estadual,91,93.3,100,0.911446,0.934517,1,ND,272.7,ND,ND,292.32,ND,-,4.895618,-,-,4.6,,,4.8,,
PB,2504900.0,Cruz do Espírito Santo,25088530.0,ECI EEFM DEPUTADO FERNANDO MILANEZ,Estadual,76.9,79.4,96.3,0.775023,0.802483,0.959917,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2504900.0,Cruz do Espírito Santo,25088572.0,EEEFM FLAVIO RIBEIRO COUTINHO,Estadual,84.6,99.5,87.4,0.862268,0.994609,0.876927,234.58,ND,ND,232.89,ND,ND,3.470554,-,-,3,,,3.2,3.4,,
PB,2504900.0,Cruz do Espírito Santo,25088602.0,EEEFM CAMPO DE SEMENTES E MUDAS,Estadual,-,-,97.9,-,-,0.979449,-,-,253.35,-,-,243.63,-,-,3.894956,-,,3.8,,,,
PB,2505006.0,Cubati,25040820.0,ECI IOLANDA TEREZA CHAVES LIMA,Estadual,82.1,66.3,100,0.822571,0.617795,1,271.72,290.53,ND,265.28,283.02,ND,4.477064,5.006818,-,3.7,3.1,,3.9,4.1,-0.7999999999999998,
PB,2505105.0,Cuité,25055836.0,ECI ORLANDO VENANCIO DOS SANTOS,Estadual,71.1,70.3,100,0.706007,0.702869,1,ND,280.31,ND,ND,275.79,ND,-,4.755045,-,-,3.3,,,3.6,,
PB,2505105.0,Cuité,25127659.0,ECI EEFM PEDRO HENRIQUE DA SILVA,Estadual,86.9,71.4,100,0.853509,0.693525,1,240.28,254.81,245.41,237.99,253.69,240.01,3.626958,4.066061,3.729248,3.1,2.8,3.7,3.3,3.5,-0.5,0.20000000000000018
PB,2505105.0,Cuité,25129279.0,ECIT JORNALISTA JOSE ITAMAR DA ROCHA CANDIDO,Estadual,-,89.7,100,-,0.906219,1,-,303.66,ND,-,312.28,ND,-,5.629252,-,-,5.1,,,5.3,,
PB,2505204.0,Cuitegi,25067869.0,ECI EEFM ODILON NELSON DANTAS,Estadual,73.3,63.8,89.8,0.727216,0.621598,0.896299,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2505238.0,Cuité de Mamanguape,25087355.0,ECI EEM PROFESSOR RENATO FONSECA FILHO,Estadual,85.1,72.6,98.7,0.855557,0.717235,0.990143,ND,247.68,ND,ND,251.83,ND,-,3.938076,-,-,2.8,,,3.0,,
PB,2505279.0,Curral de Cima,25087673.0,ESCOLA CIDADA INTEGRAL TECNICA ESTADUAL HENRIQUE FERNANDES DE FARIAS,Estadual,94.4,88,100,0.943902,0.881662,1,242.09,262.09,ND,258.43,269.67,ND,3.958367,4.40753,-,3.7,3.9,,4.0,4.2,-0.10000000000000009,
PB,2505303.0,Curral Velho,25029576.0,ECI CORONEL ZUZA LACERDA,Estadual,72.9,98.4,100,0.733893,0.983471,1,257.85,248.45,ND,235.95,256.75,ND,3.843189,4.022543,-,2.8,4.0,,3.0,3.2,1.0,
PB,2505352.0,Damião,25123203.0,ECIT FRANCISCO MARQUES DE MELO,Estadual,82.4,87,98.3,0.830552,0.869364,0.983471,ND,253.86,257.43,ND,251.18,265.2,-,4.015143,4.275164,-,3.5,4.2,,3.7,,0.5
PB,2505402.0,Desterro,25033786.0,ECI GERTRUDES LEITE,Estadual,76.9,96.8,100,0.776194,0.976406,1,ND,274.62,ND,ND,279.15,ND,-,4.725429,-,-,4.6,,,4.8,,
PB,2505501.0,Vista Serrana,25014226.0,ECI EEM MANOEL MEDEIROS DE ARAUJO,Estadual,92.9,88.5,99.1,0.935957,0.871731,0.985597,254.01,271.87,ND,247.12,266.76,ND,3.956472,4.501326,-,3.7,3.9,,3.9,4.1,0.0,
PB,2505600.0,Diamante,25029789.0,ECIT PROFESSORA ADILINA DE SOUZA DINIZ,Estadual,84.6,84,95.4,0.853282,0.842944,0.948936,261,ND,253.44,244.04,ND,246.24,4.008538,-,3.935292,3.4,,3.7,3.6,3.9,,-0.19999999999999973
PB,2505709.0,Dona Inês,25060058.0,ECI EEFM GOVERNADOR CLOVIS BEZERRA CAVALCANTI,Estadual,73.9,87.4,99.6,0.741919,0.876829,0.995629,ND,247.52,ND,ND,255.98,ND,-,3.997955,-,-,3.5,,,3.7,,
PB,2505808.0,Duas Estradas,25068075.0,ECI SAGRADO CORACAO DE JESUS,Estadual,37.2,81.3,98.2,0.367899,0.802955,0.980421,ND,247.02,ND,ND,266.69,ND,-,4.151262,-,-,3.3,,,3.5,,
PB,2505907.0,Emas,25025368.0,ECIT EFM PROFESSORA MARAGARIDA REMIGIO LOUREIRO,Estadual,94,92.4,96.4,0.955363,0.928458,0.96515,ND,252.7,ND,ND,260.36,ND,-,4.136276,-,-,3.8,,,4.1,,
PB,2506004.0,Esperança,25061720.0,ECI ESPERANCA MONSENHOR JOSE DA SILVA COUTINHO,Estadual,66.5,85.7,97.7,0.675698,0.864004,0.9817,ND,287.28,ND,ND,284.17,ND,-,4.978388,-,-,4.3,,,4.5,,
PB,2506004.0,Esperança,25061739.0,EEEFM IRINEU JOFFILY,Estadual,69.2,52.1,99.6,0.68708,0.521348,0.995991,242.04,ND,ND,234.38,ND,ND,3.597635,-,-,2.5,,,2.7,2.9,,
PB,2506004.0,Esperança,25128612.0,IFPB - CAMPUS ESPERANCA,Federal,-,-,93.7,-,-,0.938133,-,-,334.42,-,-,335.34,-,-,6.406484,-,,6.0,,,,
PB,2506103.0,Fagundes,25077147.0,ECI EEFM JOANA EMILIA DA SILVA,Estadual,87.1,80.8,90.9,0.873662,0.810538,0.906971,ND,254.72,ND,ND,252.38,ND,-,4.045186,-,-,3.3,,,3.5,,
PB,2506202.0,Frei Martinho,25041185.0,ECI PREFEITO AGUITONIO DANTAS,Estadual,96.5,93.4,95.3,0.965782,0.922194,0.960047,265.43,283.88,ND,259.41,272.99,ND,4.300847,4.76327,-,4.2,4.4,,4.4,4.6,0.0,
PB,2506251.0,Gado Bravo,25084445.0,ECI JOAO DA SILVA MONTEIRO,Estadual,89.3,95.2,100,0.883712,0.951586,1,223.31,258.15,ND,226.49,257.55,ND,3.216459,4.170755,-,2.8,4.0,,3.0,3.3,1.0,
PB,2506301.0,Guarabira,25068628.0,ECIT MONSENHOR EMILIANO DE CRISTO,Estadual,69.5,72.7,92.3,0.702175,0.721719,0.928551,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2506301.0,Guarabira,25068636.0,ECI JOSE SOARES DE CARVALHO,Estadual,81.3,85.6,100,0.8083,0.849716,1,ND,271.09,ND,ND,278.41,ND,-,4.664772,-,-,4.0,,,4.2,,
PB,2506301.0,Guarabira,25068644.0,EEEF ANTENOR NAVARRO,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
PB,2506301.0,Guarabira,25068709.0,EEEF JOHN KENNEDY,Estadual,84.2,91,89.7,0.85357,0.91492,0.908735,221.56,253.1,ND,242.07,257.17,ND,3.425114,4.09414,-,2.9,3.7,,3.1,3.3,0.6000000000000001,
PB,2506301.0,Guarabira,25068725.0,EEEM PROFESSOR EDGARDO JULIO,Estadual,-,82.5,99.3,-,0.809342,0.99187,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2506301.0,Guarabira,25125923.0,IFPB - CAMPUS GUARABIRA,Federal,88.5,82,91.4,0.916018,0.825145,0.921811,ND,326.12,ND,ND,310.58,ND,-,5.919253,-,-,4.9,,,5.1,,
PB,2506301.0,Guarabira,25130161.0,ECIT GUARABIRA DOM MARCELO PINTO CARVALHEIRA,Estadual,-,-,100,-,-,1,-,-,ND,-,-,ND,-,-,-,-,,,,,,
PB,2506400.0,Gurinhém,25080407.0,EEEFM JOAO RIBEIRO,Estadual,79,89.6,100,0.796361,0.897432,1,ND,231.47,ND,ND,234.82,ND,-,3.455767,-,-,3.1,,,3.3,,
PB,2506509.0,Gurjão,25053728.0,ECI EEM JUAREZ MARACAJA,Estadual,75.2,84.5,100,0.757902,0.853068,1,ND,252.34,220.64,ND,253.27,233.1,-,4.025082,3.277912,-,3.4,3.3,,3.6,,-0.30000000000000027
PB,2506608.0,Ibiara,25030116.0,ECI EEM PADRE MANOEL OTAVIANO,Estadual,78.1,90.7,97.6,0.783329,0.908058,0.979348,244.07,257.58,ND,232.05,246.34,ND,3.591266,3.994935,-,2.8,3.6,,3.0,3.2,0.6000000000000001,
PB,2506707.0,Imaculada,25034200.0,ECIT MARIA DO SOCORRO RAMALHO QUIRINO,Estadual,84.7,87.3,100,0.850436,0.885151,1,ND,250.85,241.88,ND,253.92,251.36,-,4.013886,3.849579,-,3.6,3.8,,3.8,,0.0
PB,2506707.0,Imaculada,25034219.0,EEEFM SANTA CATARINA,Estadual,78.4,66,100,0.777977,0.70806,1,224.66,ND,ND,226.49,ND,ND,3.23542,-,-,2.5,,,2.7,2.9,,
PB,2506806.0,Ingá,25080849.0,ECITE LUIS GONZAGA BURITY,Estadual,56.7,75.2,100,0.599299,0.764347,1,251.63,265.36,ND,253.08,270.38,ND,4.012266,4.464085,-,2.4,3.4,,2.8,3.0,0.6000000000000001,
PB,2506905.0,Itabaiana,25081403.0,ECIT DE ITABAIANA DOUTOR ANTONIO BATISTA SANTIAGO,Estadual,64.4,79.2,99,0.633633,0.82713,0.989101,ND,267.16,ND,ND,264.8,ND,-,4.405833,-,-,3.6,,,3.9,,
PB,2506905.0,Itabaiana,25081454.0,EEEFM JOAO FAGUNDES DE OLIVEIRA,Estadual,-,-,100,-,-,1,-,-,ND,-,-,ND,-,-,-,-,,,,,,
PB,2506905.0,Itabaiana,25128604.0,IFPB - CAMPUS ITABAIANA,Federal,-,94.2,96.3,-,0.945713,0.966699,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2507002.0,Itaporanga,25030566.0,EEEM ADALGISA TEODULO DA FONSECA,Estadual,75.2,79.3,80.4,0.779571,0.783201,0.805325,245.34,247.6,ND,244.5,247.36,ND,3.79548,3.870036,-,3,3.0,,3.2,3.4,-0.20000000000000018,
PB,2507002.0,Itaporanga,25031155.0,ECI FRANCELINO DE ALENCAR NEVES,Estadual,76,-,-,0.7938,-,-,271.09,-,-,259.2,-,-,4.377198,-,-,3.5,,,3.7,3.9,,
PB,2507002.0,Itaporanga,25128620.0,IFPB - CAMPUS ITAPORANGA,Federal,-,92.8,94.9,-,0.939071,0.961603,-,319.39,300.98,-,325.47,306.34,-,6.047634,5.50269,-,5.7,5.3,,5.9,,-0.6000000000000005
PB,2507002.0,Itaporanga,25130269.0,ECIT ITAPORANGA,Estadual,-,88.8,97.4,-,0.921682,0.973608,-,289.1,ND,-,293.77,ND,-,5.147662,-,-,4.7,,,5.0,,
PB,2507101.0,Itapororoca,25086049.0,ECI SEVERINO FELIX DE BRITO,Estadual,79.1,83.8,100,0.788575,0.871311,1,ND,269.6,ND,ND,282.35,ND,-,4.702827,-,-,4.1,,,4.3,,
PB,2507101.0,Itapororoca,25113810.0,EEEFM ISAURA FERNANDES DE SOUZA,Estadual,-,88.9,98.7,-,0.839867,0.987664,-,239.84,ND,-,239.99,ND,-,3.650718,-,-,3.1,,,3.3,,
PB,2507200.0,Itatuba,25081888.0,ECI JOSE RODRIGUES DE ATAIDE,Estadual,78.2,78.2,100,0.790014,0.789794,1,ND,250.1,ND,ND,249.64,ND,-,3.93928,-,-,3.1,,,3.3,,
PB,2507309.0,Jacaraú,25086316.0,ECIT ALZIRA LISBOA,Estadual,77.6,91.1,96.6,0.782956,0.9137,0.965057,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2507309.0,Jacaraú,25086332.0,EEEFM CASTRO PINTO,Estadual,-,68,93.9,-,0.685771,0.938201,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2507408.0,Jericó,25002422.0,ECI EEFM FRANCISCO MAIA,Estadual,78.8,86.6,100,0.798408,0.860745,1,265.17,267.35,ND,274.64,280.95,ND,4.525189,4.650268,-,3.6,4.0,,3.8,4.0,0.20000000000000018,
PB,2507507.0,João Pessoa,25092839.0,CEEEA SESQUICENTENARIO,Estadual,95.9,95.4,100,0.9582,0.954334,1,289.27,285.39,272.94,290.94,292.93,267.74,5.107684,5.08298,4.531025,4.9,4.9,4.5,5.1,5.3,-0.1999999999999993,-0.7999999999999998
PB,2507507.0,João Pessoa,25092871.0,CENTRO PROFIS DEP ANTONIO CABRAL,Estadual,57.2,66.1,98.9,0.600382,0.679755,0.988664,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25093835.0,ECI LUIS RAMALHO,Estadual,92.7,86.9,99.1,0.932819,0.868517,0.990286,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25093843.0,ECIT CONEGO FRANCISCO GOMES DE LIMA,Estadual,59.3,90.6,100,0.608942,0.91183,1,ND,277.49,ND,ND,284.5,ND,-,4.845828,-,-,4.4,,,4.6,,
PB,2507507.0,João Pessoa,25093851.0,ECI LILIOSA PAIVA LEITE,Estadual,67.9,88,96.3,0.691062,0.914388,0.969214,ND,251.89,ND,ND,271.35,ND,-,4.289421,-,-,3.9,,,4.1,,
PB,2507507.0,João Pessoa,25093860.0,ECIT RAUL MACHADO,Estadual,51.2,72.8,83.2,0.529192,0.719595,0.832304,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25093878.0,EEEM CON LUIZ GONZAGA DE OLIVEIRA,Estadual,58.9,75.5,99.9,0.590182,0.745251,0.998663,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25093886.0,ECIT FRANCISCA ASCENSAO CUNHA,Estadual,48.2,90,91.5,0.485044,0.919976,0.920405,ND,307.16,ND,ND,307.27,ND,-,5.603409,-,-,5.2,,,5.4,,
PB,2507507.0,João Pessoa,25093894.0,ECI EEM PROF PEDRO AUGUSTO PORTO CAMINHA,Estadual,44.9,44.8,-,0.43428,0.41398,-,ND,ND,-,ND,ND,-,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25093916.0,ECIT PROFESSOR RAUL CORDULA,Estadual,54.5,-,-,0.540938,-,-,ND,-,-,ND,-,-,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25093932.0,ECIT DAURA SANTIAGO RANGEL,Estadual,70.8,53.8,88.9,0.714326,0.534437,0.8827,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25093959.0,ECIT OLIVINA OLIVIA CARNEIRO DA CUNHA,Estadual,81,82,95.4,0.815644,0.82646,0.954579,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25093967.0,EEEFM PROF MARIA BRONZEADO MACHADO,Estadual,-,-,94.7,-,-,0.946989,-,-,ND,-,-,ND,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25093975.0,ECI NICODEMOS NEVES,Estadual,65.2,73.6,98.7,0.65209,0.738475,0.985949,ND,258.39,ND,ND,266.33,ND,-,4.305563,-,-,3.2,,,3.4,,
PB,2507507.0,João Pessoa,25094025.0,ECI EEFM TENENTE LUCENA,Estadual,97.4,61.5,97.3,0.981258,0.622502,0.974053,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25094033.0,ECIT MANOEL LISBOA DE MOURA,Estadual,-,91.7,100,-,0.914586,1,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25094041.0,EEEF PROFA ARGENTINA PEREIRA GOMES,Estadual,-,93.3,99.6,-,0.94143,0.995989,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25094050.0,ECIT LUIZ GONZAGA DE ALBUQUERQUE BURITY,Estadual,56.1,79.8,100,0.559199,0.80579,1,ND,284.74,ND,ND,289.62,ND,-,5.0243,-,-,4.0,,,4.3,,
PB,2507507.0,João Pessoa,25094106.0,ECI LUZIA SIMOES BARTOLLINI,Estadual,68.3,81.6,-,0.697528,0.849065,-,ND,ND,-,ND,ND,-,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25094114.0,ECIT ALICE CARNEIRO,Estadual,76.9,86.1,100,0.790188,0.895684,1,ND,274.43,ND,ND,290.3,ND,-,4.889677,-,-,4.4,,,4.6,,
PB,2507507.0,João Pessoa,25094122.0,CPM ESTUDANTE REBECA CRISTINA ALVES SIMOES,Estadual,88.9,95.6,100,0.895887,0.958013,1,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2507507.0,João Pessoa,25094130.0,ECI HORACIO DE ALMEIDA,Estadual,75.4,69.4,82.7,0.780275,0.700244,0.829068,ND,258.35,ND,ND,276.2,ND,-,4.452756,-,-,3.1,,,3.3,,
PB,2507507.0,João Pessoa,25094157.0,EEEFM ESCRITOR JOSE LINS DO REGO,Estadual,68.7,82.8,-,0.715848,0.827436,-,ND,ND,-,ND,ND,-,-,-,-,-,,,,,,
